id,category_key,language_code,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_title,source_url,publication_status,quality_note
general8_0001,Çand,ku-kmr,"Li gorî UNESCO, çima hunera destkarî di nav mîrasa bê-maddî de taybet e?","Ji ber ku zanîn, teknîk û jêhatîbûn di berhemekî maddî de xuya dibin.",Ji ber ku hunera destkarî tenê berhemên pîşesazî çêdike.,Ji ber ku hûnermend divê qet rêbazê xwe neguhere.,Ji ber ku destkarî bi civak û veguhastina zanînê re têkildar nîne.,A,"UNESCO hunera destkarî wekî yek ji wateyên herî berbiçav ên mîrasa bê-maddî dide naskirin, ji ber ku jêhatîbûna bê-maddî di berhemekî dîtbar de tê nîşandan.",1,Traditional Craftsmanship – UNESCO,https://ich.unesco.org/en/traditional-craftsmanship-00057,PENDING_EDITORIAL_APPROVAL,"Kategori bazlı, kaynaklı ve özgün olarak hazırlandı; ikinci editoryal kontrol bekliyor."
general8_0002,Çand,ku-kmr,"Di parastina destkariyekî kevneşopî de, çima tenê parastina berhemê bes nake?","Ji ber ku divê zanîn, teknîk û rêbaza hînkirina wê jî bê parastin.",Ji ber ku berhem divê ji hildêrên wê bê veqetandin.,Ji ber ku tenê rengê berhemê wateya mîrasê dide.,Ji ber ku hînkirin nikare di destkariyê de rolek bilîze.,A,Mîrasa destkarî bi zanîn û jêhatîbûna hildêrên wê ve zindî ye; parastina berhemê bê parastina pêvajoyê têr nake.,2,Traditional Craftsmanship – UNESCO,https://ich.unesco.org/en/traditional-craftsmanship-00057,PENDING_EDITORIAL_APPROVAL,"Kategori bazlı, kaynaklı ve özgün olarak hazırlandı; ikinci editoryal kontrol bekliyor."
general8_0003,Çand,ku-kmr,Çima globalîzasyon dikare ji bo hin formên destkariyê zehmetî çêbike?,Ji ber ku berhemên standard û hilberîna girseyî dikarin daxwaz û şertên veguhastina destkariyê kêm bikin.,Ji ber ku globalîzasyon her tim destkariyê zêde dike.,Ji ber ku destkarî tenê di civakên bê têkiliyê de heye.,Ji ber ku berhemên girseyî her tim zanîna destkaran diparêzin.,A,UNESCO balê dikişîne ku globalîzasyon dikare domandina formên kevneşopî yên destkariyê bixe xeterê.,2,Traditional Craftsmanship – UNESCO,https://ich.unesco.org/en/traditional-craftsmanship-00057,PENDING_EDITORIAL_APPROVAL,"Kategori bazlı, kaynaklı ve özgün olarak hazırlandı; ikinci editoryal kontrol bekliyor."
general8_0004,Çand,ku-kmr,Kîjan plan ji bo domandina destkariyê bi rêzgirtina civakê re herî guncaw e?,"Hînkirina ciwanan ji aliyê hildêrên civakê ve, bi şertê ku teknîk dikarin bi şertên nû re biguhezin.",Rakirina hildêrên kevneşopî ji pêvajoya hînkirinê.,Guhertina hemû berhemên destkarî bi berhemên pîşesazî.,Parastina teknîkê bi qedexekirina hemû afirandinên nû.,A,Parastina mîrasa zindî hînkirina zanînê ji nifşekê re û mafê civakê di afirandin û guhertinê de bi hev re hesib dike.,3,Traditional Craftsmanship – UNESCO,https://ich.unesco.org/en/traditional-craftsmanship-00057,PENDING_EDITORIAL_APPROVAL,"Kategori bazlı, kaynaklı ve özgün olarak hazırlandı; ikinci editoryal kontrol bekliyor."
general8_0005,Muzîk,ku-kmr,"Di muzîkê de, 'zanîn û jêhatîbûn' çi dikare dihewîne?","Çêkirina amûrê, lêdana wê, şêwaza stranê û rêbaza hînkirina wê.",Tenê navê hunermendê.,Tenê cihê ku konser lê tê kirin.,Tenê jimara temaşevanan.,A,"Muzîk wek mîrasa zindî ne tenê deng e; ew dikare zanîn, teknîk, repertuwar û rêbaza veguhastina wan dihewîne.",1,Performing Arts – UNESCO,https://ich.unesco.org/en/performing-arts-00054,PENDING_EDITORIAL_APPROVAL,"Kategori bazlı, kaynaklı ve özgün olarak hazırlandı; ikinci editoryal kontrol bekliyor."
general8_0006,Muzîk,ku-kmr,Çima amûrên muzîkê dikarin bi hawirdor û jiyana civakê re têkildar bibin?,"Ji ber ku materyal, şêwaza çêkirinê û bikaranîna wan dikare zanîna herêmî û şertên jiyanê nîşan bide.",Ji ber ku amûrên muzîkê ji hawirdorê qet materyal nagirin.,Ji ber ku amûr tenê ji bo nîşandana dewlemendiyê ye.,Ji ber ku muzîk ji jiyana rojane bê girêdan e.,A,"UNESCO hunerên performansê bi zanîna civakan, hawirdor û pratîkên din ên mîrasa bê-maddî re têkildar dibîne.",2,Performing Arts – UNESCO,https://ich.unesco.org/en/performing-arts-00054,PENDING_EDITORIAL_APPROVAL,"Kategori bazlı, kaynaklı ve özgün olarak hazırlandı; ikinci editoryal kontrol bekliyor."
general8_0007,Muzîk,ku-kmr,"Di parastina muzîkekî kevneşopî de, çima tomarkirin û performansa zindî divê bi hev re bên bikaranîn?","Tomarkirin dîlê dide, performansa zindî jî têkiliya civakî û şertên vegotinê diparêze.",Ji ber ku yek ji wan divê hemû pratîkê bi temamî li cihê ya din bigire.,Ji ber ku performansa zindî nikare zanînê bigihîne.,Ji ber ku tomarkirin her guhertinê ji holê radike.,A,Mîrasa muzîkî hem bi belgekirina dengê hem jî bi jiyana civakî ya performansê tê parastin; yek rêbaz tenê hemû aliyên wê nagire.,3,Performing Arts – UNESCO,https://ich.unesco.org/en/performing-arts-00054,PENDING_EDITORIAL_APPROVAL,"Kategori bazlı, kaynaklı ve özgün olarak hazırlandı; ikinci editoryal kontrol bekliyor."
general8_0008,Edebiyat,ku-kmr,"Li gorî UNESCO, ziman di kevneşopiyên devkî de çi rolê dileyze?","Wek serişteya veguhastina çîrok, gotin, zanîn û bîra civakî.",Wek astengiyek ku divê ji vegotinê bê rakirin.,Wek amûrek ku tenê ji bo belgeyên fermî ye.,Wek tiştekî ku bi çandê re têkildar nîne.,A,UNESCO kevneşopiyên devkî û zimanê ku wan digihîne nifşên din wek beşên girîng ên mîrasa bê-maddî dide naskirin.,1,Intangible Cultural Heritage – UNESCO,https://ich.unesco.org/en/what-is-intangible-heritage-00003?lang=en,PENDING_EDITORIAL_APPROVAL,"Kategori bazlı, kaynaklı ve özgün olarak hazırlandı; ikinci editoryal kontrol bekliyor."
general8_0009,Edebiyat,ku-kmr,Çima çîrokek devkî dikare di performansên cuda de hinekî biguheze û dîsa mîras bimîne?,"Ji ber ku veguhastina devkî dubarekirin, afirandin û adaptasyona li gorî temaşevan dihewîne.",Ji ber ku mîras divê her tim bê deng bê vegotin.,Ji ber ku guherîn her tim nîşana wendabûna çandê ye.,Ji ber ku performans ji çîrokê bi temamî cuda ye.,A,UNESCO mîrasa devkî wek pratîkeke zindî dide dîtin ku di veguhastinê de dikare bi şert û temaşevan re biguheze.,2,Oral Traditions and Expressions – UNESCO,https://ich.unesco.org/en/oral-traditions-and-expressions-00053,PENDING_EDITORIAL_APPROVAL,"Kategori bazlı, kaynaklı ve özgün olarak hazırlandı; ikinci editoryal kontrol bekliyor."
general8_0010,Edebiyat,ku-kmr,"Di xwendina gotinekê ya devkî de, çima deng û şertê performansê jî girîng in?","Ji ber ku ritm, rawestan, deng û têkiliya bi temaşevanan re dikarin wateya gotinê biguherînin.",Ji ber ku naveroka gotinê qet bi performansê re têkildar nîne.,Ji ber ku gotinên devkî divê bê deng bên nivîsandin.,Ji ber ku deng tenê ji bo muzîkê wate heye.,A,Kevneşopiya devkî ne tenê nivîsa peyvan e; awayê vegotinê û şertê civakî jî beşek ji wateya wê ne.,3,Oral Traditions and Expressions – UNESCO,https://ich.unesco.org/en/oral-traditions-and-expressions-00053,PENDING_EDITORIAL_APPROVAL,"Kategori bazlı, kaynaklı ve özgün olarak hazırlandı; ikinci editoryal kontrol bekliyor."
general8_0011,Dîrok,ku-kmr,"Li gorî UNESCO, mîrasa bê-maddî çawa bi dîroka civakekê re têkildar e?","Pratîk û zanînên ku ji nifşên berê tên û di jiyana îroyîn de tên nûkirin, bîra dîrokî digihînin nifşên din.",Ji ber ku dîrok tenê di avahiyên kevn de tê dîtin.,Ji ber ku pratîkên îro nikarin tiştekî li ser dîrokê bibêjin.,Ji ber ku mîras divê ji jiyana rojane bê veqetandin.,A,UNESCO mîrasa bê-maddî wekî kevneşopiyên ji bav û kalan hatine mîrasgirtin û di heman demê de zindî û nûkirî dide pênasekirin.,1,What is Intangible Cultural Heritage? – UNESCO,https://ich.unesco.org/en/what-is-intangible-heritage-00003?lang=en,PENDING_EDITORIAL_APPROVAL,"Kategori bazlı, kaynaklı ve özgün olarak hazırlandı; ikinci editoryal kontrol bekliyor."
