id,category_key,language_code,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_title,source_url,publication_status,quality_note,source_candidate_id
opentdb_translated_2_0001,Cografya,ku-kmr,Kîjan şiklî bi gelemperî ji bo nîşana rawestan tê bikaranîn?,Heştgoşe.,Sêgoşe.,Çargoşe.,Dorpêç.,A,Nîşana rawestan bi gelemperî şiklê heştgoşeyê heye.,1,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0012
opentdb_translated_2_0002,Siyaset,ku-kmr,Li ser alaya Yekîtiya Ewropayê çend stêrk hene?,10.,15.,27.,12.,D,Li ser alaya Yekîtiya Ewropayê 12 stêrk hene; ew bi hejmareke nîşander a welatên endam ne.,1,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0013
opentdb_translated_2_0003,Ziman,ku-kmr,Di zimanê Spanî de peyva 'donkey' çi ye?,Gato.,Perro.,Burro.,Cheval.,C,Di zimanê Spanî de burro peyva ji bo ker e.,1,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0014
opentdb_translated_2_0004,Cografya,ku-kmr,Di yek mîlê de çend furlong hene?,Sîzdeh.,Heşt.,Deh.,Çar.,B,Yek mîl bi heşt furlongên kevneşopî re hevaheng e.,1,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0015
opentdb_translated_2_0005,Cografya,ku-kmr,Bi qasî çend ji sedî rûyê Erdê bi avê ve hatiye nixumandin?,Nêzîkî 71 ji sedî.,Nêzîkî 20 ji sedî.,Nêzîkî 45 ji sedî.,Nêzîkî 90 ji sedî.,A,Rûyê Erdê bi nêzîkî 71 ji sedî bi avê ve hatiye nixumandin.,1,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0059
opentdb_translated_2_0006,Paradigma,ku-kmr,Kîjan cure kevir ji germî û zexta pir zêde çêdibe?,Kevirê sedimentî.,Kevirê magmatîk.,Kevirê şil.,Kevirê metamorfîk.,D,Germî û zext dikarin kevirên berê biguherînin û kevirê metamorfîk çêbikin.,2,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0066
opentdb_translated_2_0007,Paradigma,ku-kmr,Osteoporoz bi taybetî kîjan beşê laşê lawaz dike?,Çavan.,Pokan.,Hestiyan.,Mûçeyan.,C,Osteoporoz nexweşiyeke hestiyan e ku çêdibe hestî hêsantir bişikên.,1,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0067
opentdb_translated_2_0008,Dîrok,ku-kmr,Kîjan bûyera wendabûna dînozorên ne-kuşkan re tê girêdan?,Rijandina Pompeî.,Bûyera wendabûna Kretase–Paleogenê.,Bûyera mezin a destpêka Çaryaryê.,Şerê Somme.,B,Lêkolînên zanistî wendabûna piraniya dînozorên ne-kuşkan bi bandora asteroîdekî û bûyera Kretase–Paleogenê re girêdidin.,2,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0068
opentdb_translated_2_0009,Cografya,ku-kmr,Kîjan eyaleta Dewletên Yekbûyî herî mezin e?,Alaska.,Texas.,California.,Montana.,A,Alaska herî mezin a eyaletên Dewletên Yekbûyî ye.,1,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0112
opentdb_translated_2_0010,Cografya,ku-kmr,Kîjan girava Japonê ji aliyê rûberê ve herî mezin e?,Hokkaidō.,Kyūshū.,Shikoku.,Honshū.,D,Honshū girava herî mezin a Japonê ye.,1,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0113
opentdb_translated_2_0011,Cografya,ku-kmr,Paytexta Ekuadorê kîjan bajar e?,Cuenca.,Loja.,Quito.,Guayaquil.,C,Paytexta Ekuadorê Quito e.,1,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0116
opentdb_translated_2_0012,Ziman,ku-kmr,"Di alfabeya Yewnanî de, tîpa 15emîn kîjan e?",Pi.,Omicron.,Nu.,Xi.,B,Di rêza alfabeya Yewnanî de omicron tîpa 15emîn e.,2,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0118
opentdb_translated_2_0013,Dîrok,ku-kmr,Kîjan feldmarshalê Almanî bi navê 'Rovîyê Çolê' dihat naskirin?,Erwin Rommel.,Paul von Hindenburg.,Erich Ludendorff.,Georg von Kuchler.,A,"Erwin Rommel bi navê Desert Fox, an Rovîyê Çolê, dihat naskirin.",2,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0161
opentdb_translated_2_0014,Dîrok,ku-kmr,Dorpêça Leningradê di Şerê Cîhanê yê Duyem de kengî hate rakirin?,Di Gulana 1942-an de.,Di Cotmeha 1945-an de.,Di Sibata 1941-an de.,Di Çileya 1944-an de.,D,"Dorpêça Leningradê di Çileya 1944-an de, piştî nêzîkî 872 rojan, hate rakirin.",2,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0163
opentdb_translated_2_0015,Dîrok,ku-kmr,Kîjan welat cara yekem tiştek şand fezayê?,Fransa.,Çîn.,Yekîtiya Sovyetê.,Dewletên Yekbûyî.,C,Yekîtiya Sovyetê cara yekem tiştekî çêkirî şand fezayê bi Sputnik 1 re di 1957-an de.,2,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0167
opentdb_translated_2_0016,Çand,ku-kmr,Kîjan cih di nav heft ecêbên orîjînal ên cîhana kevn de nehatibû hejmartin?,Piramîda Mezin a Gîzayê.,Koloseuma Romayê.,Peykerê Zeus li Olimpiyayê.,Baxçeyên Asîlan ên Babylonê.,B,Koloseum di nav lîsteya heft ecêbên cîhana kevn de nebû; ew li ser lîsteyên paşerojê yên cûda tê dîtin.,2,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0168
opentdb_translated_2_0017,Edebiyat,ku-kmr,Navê berhema Machiavelli ya li ser desthilatdariya rêberan çi ye?,The Prince.,Utopia.,Republic.,Leviathan.,A,"Machiavelli di The Prince de li ser desthilat, rêberî û stratejiyên siyasî nîqaş dike.",2,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0209
opentdb_translated_2_0018,Siyaset,ku-kmr,Kîjan organê sereke yê Neteweyên Yekbûyî ji 1994-an ve hat suspendkirin?,Meclîsa Giştî.,Dadgeha Navneteweyî ya Dadê.,Sekreterya Giştî.,Encûmena Rêveberiya Desthilatên Bawerî.,D,Encûmena Rêveberiya Desthilatên Bawerî ya Neteweyên Yekbûyî ji 1994-an ve karê xwe suspend kiriye.,2,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0212
opentdb_translated_2_0019,Dîrok,ku-kmr,"Piştî Joseph Stalin, kî li ser Sekreteriya Giştî ya Partiya Komunîst a Sovyetê hat?",Mikhail Gorbachev.,Alexei Kosygin.,Nikita Khrushchev.,Leonid Brezhnev.,C,Nikita Khrushchev piştî mirina Stalinê bû kesayetiyeke sereke ya rêberiya Sovyetê.,2,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0213
opentdb_translated_2_0020,Siyaset,ku-kmr,Kî yekem serokê reş ê Afrîkaya Başûr bû?,Kofi Annan.,Nelson Mandela.,Desmond Tutu.,Thabo Mbeki.,B,Nelson Mandela di 1994-an de yekem serokê reş ê Afrîkaya Başûr bû.,2,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0218
opentdb_translated_2_0021,Çand,ku-kmr,Wêneyê Mona Lisa kî kişandiye?,Leonardo da Vinci.,Michelangelo.,Raphael.,Caravaggio.,A,Mona Lisa berhema Leonardo da Vinci ye.,1,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0260
