id,category_key,language_code,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_title,source_url,publication_status,quality_note,source_candidate_id
opentdb_translated_1_0001,Cografya,ku-kmr,Di kîjan herêmê de nebatê ananasê bi xwezayî hatiye naskirin?,Amerîkaya Başûr.,Ewropa.,Asyaya Rojhilat.,Afrîkaya Bakur.,A,Di hevoka OpenTDB de bersiva rast Amerîkaya Başûr e; ev pirs ji bo dîtina jiyana nebatan bi cografya re tê girêdan.,1,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0001
opentdb_translated_1_0002,Ziman,ku-kmr,Holandîaxêver navê zimanê xwe bi gelemperî çi dibêjin?,Deutsch.,Svenska.,Magyar.,Nederlands.,D,"Di OpenTDB de bersiva rast Nederlands e, ku navê holandî yê zimanê xwe ye.",1,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0003
opentdb_translated_1_0003,Paradigma,ku-kmr,"Di mantiqê de, 'êrîşa li ser kesayetiyê' çi xeletiyek e?",Red herring.,Straw man.,Ad hominem.,False dilemma.,C,Ad hominem li şûna bersivdayîna argumentê li ser kesayetiyê ya kesê din êrîş dike.,2,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0006
opentdb_translated_1_0004,Dîrok,ku-kmr,"Di dîroka Japonê de, şogûn kî bûn?",Nivîskarên perestgehê.,Fermandarên leşkerî yên ku demeke dirêj desthilatdar bûn.,Komeke nivîskarên sarayê.,Rêberên bazirganiyê yên deryayî.,B,Şogûn navê fermandarên leşkerî yên Japonê bû ku di demên cuda de desthilatdariya siyasî bi rê ve dibirin.,2,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0008
opentdb_translated_1_0005,Ziman,ku-kmr,"Di DNA-yê de, guanîn bi kîjan nukleotîdê re cot dibe?",Sîtosîn.,Tîmîn.,Uracil.,Adenîn.,A,Di hevokên OpenTDB de bersiva rast sîtosîn e; di DNA-yê de guanîn û sîtosîn cotek çêdikin.,1,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0051
opentdb_translated_1_0006,Paradigma,ku-kmr,100 dereceya Celsius bi qasî çend dereceya Fahrenheit e?,100.,180.,32.,212.,D,100°C bi 212°F re hevaheng e.,1,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0052
opentdb_translated_1_0007,Paradigma,ku-kmr,"Di hucreyê de, kîjan organel wekî 'santrala hêzê' tê binavkirin?",Çekirdek.,Lîzozom.,Mîtokondrî.,Rîbozom.,C,Mîtokondrî enerjiya ku hucre ji bo karên xwe bikar tîne çêdike; ji ber vê yekê bi wê navê tê naskirin.,2,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0058
opentdb_translated_1_0008,Paradigma,ku-kmr,Di ava deîyonîzekirî de bi taybetî çi hatiye kêmkirin?,Oksîjena di nav hewayê de.,Îyonên mîneral û yên din ên hildayî.,Hemû molekulên avê.,Rengê avê.,B,Ava deîyonîzekirî ji bo kêmkirina îyonên hildayî tê parastin; ew ne wekî rakirina hemû molekulên avê ye.,1,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0055
opentdb_translated_1_0009,Cografya,ku-kmr,Paytexta Skotlandê kîjan bajar e?,Edinburgh.,Glasgow.,Aberdeen.,Dundee.,A,Paytexta Skotlandê Edinburgh e.,1,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0104
opentdb_translated_1_0010,Cografya,ku-kmr,Nîvgirava ku Spanya û Portekîz tê de ne çi ye?,Nîvgirava Balkanê.,Nîvgirava Skandinavî.,Nîvgirava Arabistanê.,Nîvgirava Îberî.,D,Spanya û Portekîz li ser Nîvgirava Îberî ya li başûrê rojavayê Ewropayê ne.,1,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0105
opentdb_translated_1_0011,Cografya,ku-kmr,Rûsya bi gelemperî bi çend herêmên demjimêrê tê pênasekirin?,7.,15.,11.,5.,C,Di pirsê OpenTDB de bersiva rast 11 herêmên demjimêrê ye.,2,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0102
opentdb_translated_1_0012,Dîrok,ku-kmr,"Di dema 'Serdema Terorê' ya Şoreşa Fransayê de, kî kesayetiyek navdar bû?",Charles de Gaulle.,Maximilien Robespierre.,Napoleon Bonaparte.,Louis XIV.,B,Robespierre bi Komîteya Rizgariya Giştî û Serdema Terorê ya 1793–1794 re tê girêdan.,2,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0151
opentdb_translated_1_0013,Dîrok,ku-kmr,Şerê Somme di kîjan salê de dest pê kir?,1916.,1914.,1918.,1920.,A,Şerê Somme di 1ê Tîrmeha 1916-an de di Şerê Cîhanê yê Yekem de dest pê kir.,2,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0152
opentdb_translated_1_0014,Dîrok,ku-kmr,Salnameya Gregorianê cara yekem bi fermî di kîjan salê de hate pejirandin?,1492.,1600.,1701.,1582.,D,Salnameya Gregorianê di 1582-an de ji aliyê Papa Gregory XIII ve hate danîn û hin welatên Ewropayê ew pejirandin.,2,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0154
opentdb_translated_1_0015,Dîrok,ku-kmr,Manfred von Richthofen bi kîjan navê tê naskirin?,Pîlotê Reş.,Kaptanê Kesk.,Baronê Sor.,Şêrê Spî.,C,"Manfred von Richthofen, pîlotê Alman ê Şerê Cîhanê yê Yekem, bi navê Baronê Sor tê naskirin.",1,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0157
