id,category_key,language_code,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_title,source_url,publication_status,quality_note,source_candidate_id
wikidata_translated_2_0001,Paradigma,ku-kmr,Hejmara atomî ya elementê lîtîyum çend e?,3,120,119,88,A,"Li gorî daneyên strukturî yên Wikidata, hejmara atomî ya elementê lîtîyum 3 e.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên zanistî divê di kontrola dawî de bêne rastkirin.,wikidata_0228
wikidata_translated_2_0002,Paradigma,ku-kmr,Hejmara atomî ya elementê radium çend e?,3,120,119,88,D,"Li gorî daneyên strukturî yên Wikidata, hejmara atomî ya elementê radium 88 e.",2,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên zanistî divê di kontrola dawî de bêne rastkirin.,wikidata_0231
wikidata_translated_2_0003,Paradigma,ku-kmr,Hejmara atomî ya elementê brom çend e?,120,119,35,3,C,"Li gorî daneyên strukturî yên Wikidata, hejmara atomî ya elementê brom 35 e.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên zanistî divê di kontrola dawî de bêne rastkirin.,wikidata_0232
wikidata_translated_2_0004,Paradigma,ku-kmr,Hejmara atomî ya elementê barîyum çend e?,119,56,3,120,B,"Li gorî daneyên strukturî yên Wikidata, hejmara atomî ya elementê barîyum 56 e.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên zanistî divê di kontrola dawî de bêne rastkirin.,wikidata_0233
wikidata_translated_2_0005,Paradigma,ku-kmr,Hejmara atomî ya elementê sîlîkon çend e?,14,3,120,119,A,"Li gorî daneyên strukturî yên Wikidata, hejmara atomî ya elementê sîlîkon 14 e.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên zanistî divê di kontrola dawî de bêne rastkirin.,wikidata_0234
wikidata_translated_2_0006,Paradigma,ku-kmr,Hejmara atomî ya elementê neptûnyum çend e?,3,120,119,93,D,"Li gorî daneyên strukturî yên Wikidata, hejmara atomî ya elementê neptûnyum 93 e.",2,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên zanistî divê di kontrola dawî de bêne rastkirin.,wikidata_0235
wikidata_translated_2_0007,Paradigma,ku-kmr,Hejmara atomî ya elementê osmîyum çend e?,120,119,76,3,C,"Li gorî daneyên strukturî yên Wikidata, hejmara atomî ya elementê osmîyum 76 e.",2,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên zanistî divê di kontrola dawî de bêne rastkirin.,wikidata_0236
wikidata_translated_2_0008,Paradigma,ku-kmr,Hejmara atomî ya elementê selenyum çend e?,119,34,3,120,B,"Li gorî daneyên strukturî yên Wikidata, hejmara atomî ya elementê selenyum 34 e.",2,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên zanistî divê di kontrola dawî de bêne rastkirin.,wikidata_0237
wikidata_translated_2_0009,Paradigma,ku-kmr,Hejmara atomî ya elementê bor çend e?,5,3,120,119,A,"Li gorî daneyên strukturî yên Wikidata, hejmara atomî ya elementê bor 5 e.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên zanistî divê di kontrola dawî de bêne rastkirin.,wikidata_0238
wikidata_translated_2_0010,Paradigma,ku-kmr,Hejmara atomî ya elementê karbon çend e?,3,120,119,6,D,"Li gorî daneyên strukturî yên Wikidata, hejmara atomî ya elementê karbon 6 e.",1,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:Licensing,PENDING_EDITORIAL_APPROVAL,Ji daneyên CC0 yên Wikidata hatiye afirandin; nav û bersivên zanistî divê di kontrola dawî de bêne rastkirin.,wikidata_0239
