id,category_key,language_code,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_title,source_url,publication_status,quality_note,source_candidate_id
opentdb_translated_5_0001,Dîrok,ku-kmr,Komploya barûtê ya 1605-an li dijî kîjan padîşahê Îngilîstanê hat amadekirin?,James I.,Elizabeth I.,Charles II.,Charles I.,A,"Komploya barûtê ya 1605-an li dijî James I, padîşahê wê demê yê Îngilîstanê, hat amadekirin.",2,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0153
opentdb_translated_5_0002,Dîrok,ku-kmr,"Şerê Duyemîn ê Boerê ku di 1899-an de dest pê kir, li kîjan herêmê hate şer kirin?",Arjantîn.,Nepal.,Bulgaristan.,Afrîkaya Başûr.,D,Şerê Duyemîn ê Boerê di Afrîkaya Başûr de di navbera Boeran û Împaratoriya Brîtanyayê de qewimî.,2,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0156
opentdb_translated_5_0003,Dîrok,ku-kmr,"Piştî têkçûna xwe ya li Şerê Waterloo, Napolyon Bonaparte li kîjan giravê hate sirgûnkirin?",Korsîka.,Giravên Kanarya.,Saint Helena.,Elba.,C,"Piştî Waterloo, Napolyon li girava Saint Helena hate sirgûnkirin; berê jî li Elba sirgûn bû.",2,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0169
opentdb_translated_5_0004,Dîrok,ku-kmr,Keştiya RMS Titanic di rêwîtiya xwe ya yekem de ji Southamptonê ber bi kîjan bajarê Amerîkî ve diçû?,Washington.,New York City.,Boston.,Philadelphia.,B,Titanic di rêwîtiya xwe ya yekem de ji Southamptonê ber bi New York City ve diçû.,1,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0170
opentdb_translated_5_0005,Teknolojî,ku-kmr,Di Windowsê de kîjan kurtasiya klavyeyê ji bo fonksiyona 'Copy' tê bikaranîn?,Ctrl + C.,Ctrl + X.,Alt + C.,Alt + X.,A,Kombînasyona Ctrl + C di Windowsê de ji bo kopîkirina nivîs an daneyan tê bikaranîn.,1,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_remaining_0327
opentdb_translated_5_0006,Teknolojî,ku-kmr,Protokola înternetê ya di RFC 1459 de hatî belgekirin kîjan e?,HTTP.,HTTPS.,FTP.,IRC.,D,"RFC 1459 standarda destpêkê ya protokola Internet Relay Chat, ango IRC, belge dike.",2,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_remaining_0328
opentdb_translated_5_0007,Teknolojî,ku-kmr,Navê kêşeya ewlehiyê ya ku di Bashê de di sala 2014-an de hate dîtin çi bû?,Bashbug.,Stagefright.,Shellshock.,Heartbleed.,C,Kêşeya Shellshock di sala 2014-an de di şertên taybet ên Bashê de rê li ber xebitandina kodê ji dûr ve dikir.,2,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_remaining_0331
opentdb_translated_5_0008,Çand,ku-kmr,"Di tabloya 'Şîva Dawî' ya Leonardo da Vinci de, cilên Îsa bi kîjan cotrengê têne nîşandan?",Sor û reş.,Sor û şîn.,Sor û spî.,Sor û zer.,B,"Li gorî bersiva OpenTDB, cilên Îsa di 'Şîva Dawî' de bi sor û şîn têne nîşandan.",1,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0252
opentdb_translated_5_0009,Çand,ku-kmr,Kîjan hunermend tabloya 'The Treachery of Images' ya bi wêneyê lûleyekê û nivîsa 'ev lûle nîne' çêkir?,René Magritte.,Henri Matisse.,Amedeo Modigliani.,Edvard Munch.,A,Tabloya 'The Treachery of Images' ya bi navê fransî 'La Trahison des Images' ji René Magritte re tê girêdan.,1,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0256
opentdb_translated_5_0010,Çand,ku-kmr,Wênekêş Piet Mondrian (1872–1944) endamê kîjan tevgerê hunerî bû?,Precisionism.,Kubîzm.,Impressionism.,Neoplasticism.,D,"Piet Mondrian bi tevgera Neoplasticismê, ku bi kompozîsyonên geometriyî û rengên bingehîn tê naskirin, tê girêdan.",2,Open Trivia Database API,https://opentdb.com/api_config.php,PENDING_EDITORIAL_APPROVAL,OpenTDB adayından seçildi; Kurmancî çeviri ve editoryal uyarlama yapıldı.,opentdb_0272
