id,category_key,language_code,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_title,source_url,publication_status,quality_note
movement5_0001,Ziman,ku-kmr,"Di lîsteya Jineolojî Dergisî de, «Rastiya jinê bingehê rêbazê ye» bi kîjan mijarê re tê girêdan?",Bi rêbazeke ku ezmûna jinan di hilberîna zanînê de dixe navendê.,Bi rêbazeke ku ezmûna jinan ji lêkolînê dûr dixe.,Bi rêbazeke ku ziman tenê wekî kodê teknîkî dibîne.,Bi rêbazeke ku dîrokê ji civakê cuda dike.,A,Navê dosyayê li ser rêbaz û rastiya jinan raweste; ev nîşan dide ku ezmûna jinan wekî çavkaniya zanînê tê dîtin.,3,Method and Truth Based on Women’s Reality,https://jineoloji.eu/en/2025/06/29/jineoloji-magazine-at-10-years-old-the-reunion-of-knowledge-stolen-from-women-with-women-part-1/,PENDING_EDITORIAL_APPROVAL,Hareket basın/yayın veya kitap kaynağından elle yazıldı; ikinci editoryal kontrol bekliyor.
movement5_0002,Ziman,ku-kmr,"Di dosyaya «Perwerdehiya zimanê jiyanê» de, ziman bi kîjan têgehê re têkildar tê xwendin?","Bi jiyan, perwerde û hilberîna zanînê re.",Bi tenê rêzikên alfabeyê bê jiyana civakî.,Bi tenê rêyên bazirganiyê.,Bi tenê dîroka çiyayên Zagrosê.,A,Navê dosyayê zimanê bi jiyan û perwerdehiya civakî re dide hev; ew zimanê wekî mijareke jêbirî nayê dîtin.,2,Science and Language of Life,https://jineoloji.eu/en/2025/06/29/jineoloji-magazine-at-10-years-old-the-reunion-of-knowledge-stolen-from-women-with-women-part-1/,PENDING_EDITORIAL_APPROVAL,Hareket basın/yayın veya kitap kaynağından elle yazıldı; ikinci editoryal kontrol bekliyor.
movement5_0003,Edebiyat,ku-kmr,"Di dosyaya «Jineolojî wekî xweparastinê» de, xweparastin çi tê wate kirin?","Tenê parastina leşkerî nîne; zanîn, rêxistin û parastina jiyanê jî dihewîne.",Tenê parastina arşîvan e.,Tenê parastina peyvên klasîk ên edebiyatê ye.,Tenê parastina mal û milkê kesane ye.,A,"Lîsteya kovarê xweparastinê wekî mijareke Jineolojî dide nîşandan; di vê çarçoveyê de ew dikare zanîn, rêxistin û parastina jiyanê jî dihewîne.",2,Jineolojî as Self-Defense,https://jineoloji.eu/en/2025/06/29/jineoloji-magazine-at-10-years-old-the-reunion-of-knowledge-stolen-from-women-with-women-part-1/,PENDING_EDITORIAL_APPROVAL,Hareket basın/yayın veya kitap kaynağından elle yazıldı; ikinci editoryal kontrol bekliyor.
movement5_0004,Edebiyat,ku-kmr,"Di pirtûka Women in the Kurdish Movement de, rola jinan di tevgerê de bi kîjan du aliyan re tê xwendin?",Bi dijberiya rolên ferzkirî û avakirina nasnameyên siyasî yên nû.,Bi tenê bi dabeşkirina navên bajar û çiyayan.,Bi tenê bi karê arşîvkirina wêneyan.,Bi tenê bi guherandina alfabeya kovaran.,A,Danasîna pirtûkê li ser jinên ku rolên li ser wan hatine ferz kirin diguherînin û di tevgera siyasî de nasnameyên xwe ava dikin raweste.,3,Women in the Kurdish Movement – Springer,https://link.springer.com/book/10.1007/978-3-030-24744-7,PENDING_EDITORIAL_APPROVAL,Hareket basın/yayın veya kitap kaynağından elle yazıldı; ikinci editoryal kontrol bekliyor.
movement5_0005,Dîrok,ku-kmr,"Li gorî lîsteya dosyayên Jineolojî Dergisî, kîjan mijar bi perwerdehiya civakî re rasterast têkildar e?",Polîtîkayên perwerdehiyê.,Tenê dîroka ronahiyê.,Tenê geologyaya çiyan.,Tenê rêzikên çapkirina rojnameyan.,A,Di lîsteya kovarê de «Polîtîkayên perwerdehiyê» wekî dosyayeke cuda hatiye lîstekirin û mijara perwerdehiya civakî dixe pêş.,2,Education Policies,https://jineoloji.eu/en/2025/06/29/jineoloji-magazine-at-10-years-old-the-reunion-of-knowledge-stolen-from-women-with-women-part-1/,PENDING_EDITORIAL_APPROVAL,Hareket basın/yayın veya kitap kaynağından elle yazıldı; ikinci editoryal kontrol bekliyor.
movement5_0006,Dîrok,ku-kmr,"Di lîsteya kovarê de, «Sedsala jinan» wekî çi tê pêşkêşkirin?",Wekî mijareke li ser rola jinan û dîroka civakî di sedsala 21an de.,Wekî navê kovara Hawarê ya sala 1932an.,Wekî navê yek ji çiyayên Rojava.,Wekî ferhengoka Ehmedê Xanî.,A,"Dosyaya «Sedsala jinan» mijara jinan di sedsala 21an de dixe navendê; ew ne navê kovar, çiya an ferhengokê ye.",3,21st Century; Women’s Century,https://jineoloji.eu/en/2025/06/29/jineoloji-magazine-at-10-years-old-the-reunion-of-knowledge-stolen-from-women-with-women-part-1/,PENDING_EDITORIAL_APPROVAL,Hareket basın/yayın veya kitap kaynağından elle yazıldı; ikinci editoryal kontrol bekliyor.
movement5_0007,Çand,ku-kmr,"Di dosyaya «Civîna azad; çima û çawa?» de, mijara sereke çi ye?",Çawa dikare jiyana hevpar li ser bingehên azadî û wekheviyê bê avakirin.,Çawa dikare tenê yek kom li ser hemû civakê biryar bide.,Çawa dikare kovar bêyî nivîskar bêne çapkirin.,Çawa dikare çiyayek bê nexşe bê pîvan.,A,Navê dosyayê pirsa çima û çawa ya civîna azad dike pêş; ev mijar li ser awayên jiyana hevpar û têkiliyên wekhev raweste.,2,"Free Coexistence; Why, How?",https://jineoloji.eu/en/2025/06/29/jineoloji-magazine-at-10-years-old-the-reunion-of-knowledge-stolen-from-women-with-women-part-1/,PENDING_EDITORIAL_APPROVAL,Hareket basın/yayın veya kitap kaynağından elle yazıldı; ikinci editoryal kontrol bekliyor.
movement5_0008,Çand,ku-kmr,"Di lîsteya Jineolojî Dergisî de, «krîza çandê» bi kîjan nêzîkatiyê re tê pêşkêşkirin?",Bi lêgerîna rêyên derketinê ji krîzê.,Bi qebûlkirina krîzê wekî tiştekî ku nayê lêkolînkirin.,Bi veguhastina krîza çandê bo mijara geologyayê.,Bi rakirina çandê ji her gotûbêjê.,A,Dîroka kovarê dosyayek bi navê «Krîza çandê û rêyên derketinê» dide naskirin; navê wê lêkolîn û çareseriyê bi hev re dike.,3,Cultural Crisis and Ways Out of Crisis,https://jineoloji.eu/en/2025/06/29/jineoloji-magazine-at-10-years-old-the-reunion-of-knowledge-stolen-from-women-with-women-part-1/,PENDING_EDITORIAL_APPROVAL,Hareket basın/yayın veya kitap kaynağından elle yazıldı; ikinci editoryal kontrol bekliyor.
movement5_0009,Siyaset,ku-kmr,"Di lîsteya dosyayên Jineolojî Dergisî de, «siyaseta demokratîk» bi kîjan mijarê re dikare were xwendin?",Bi awayên beşdarbûn û biryargirtina civakê.,Bi tenê dîroka çapemeniyê.,Bi tenê teknîka stranbêjiyê.,Bi tenê şertên avhewaya herêmê.,A,Dosyaya siyaseta demokratîk di çarçoveya kovarê de bi mijarên civakî û rêxistinî re tê xwendin; beşdarbûn û biryargirtin du aliyên wê ne.,3,Democratic Politics,https://jineoloji.eu/en/2025/06/29/jineoloji-magazine-at-10-years-old-the-reunion-of-knowledge-stolen-from-women-with-women-part-1/,PENDING_EDITORIAL_APPROVAL,Hareket basın/yayın veya kitap kaynağından elle yazıldı; ikinci editoryal kontrol bekliyor.
movement5_0010,Siyaset,ku-kmr,«Aboriya komunal a demokratîk» di lîsteya Jineolojî Dergisî de çi dide nîşandan?,Aboriyê wekî mijareke civakî û rêxistinkirina hevpar dide nîqaşkirin.,Aboriyê tenê wekî karê kesane dide pênasekirin.,Aboriyê ji ekolojî û civakê bi tevahî cuda dike.,Aboriyê tenê bi dîroka Hawarê re girê dide.,A,Navê dosyayê aboriya komunal û demokratîk bi hev re dide nîqaşkirin; ev nêzîkatî aboriyê di nav têkiliyên civakî de dixwîne.,3,Democratic Communal Economy,https://jineoloji.eu/en/2025/06/29/jineoloji-magazine-at-10-years-old-the-reunion-of-knowledge-stolen-from-women-with-women-part-1/,PENDING_EDITORIAL_APPROVAL,Hareket basın/yayın veya kitap kaynağından elle yazıldı; ikinci editoryal kontrol bekliyor.
