id,category_key,language_code,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,source_title,source_url,publication_status,quality_note
movement7_0001,Ziman,ku-kmr,"Di dosyayên «Rêbazên berxwedana jinan I û II» de, çima du dosya ji hev hatine veqetandin?",Ji ber ku berxwedana jinan dikare gelek rêbaz û formên cuda dihewîne.,Ji ber ku yek ji dosyayan li ser geologyayê ye.,Ji ber ku yek ji dosyayan tenê ferhengok e.,Ji ber ku du dosya heman navê kovarê ne.,A,Lîsteya kovarê du dosyayên li ser rêbazên berxwedana jinan dide nîşandan; ev dabeşkirin cûrbecûrbûna formên berxwedanê nîqaş dike.,2,Women’s Resistance Methods I and II,https://jineoloji.eu/en/2025/06/29/jineoloji-magazine-at-10-years-old-the-reunion-of-knowledge-stolen-from-women-with-women-part-1/,PENDING_EDITORIAL_APPROVAL,Hareket basın/yayın kaynağından elle yazıldı; ikinci editoryal kontrol bekliyor.
movement7_0002,Ziman,ku-kmr,"Di dosyaya «Rêbaz û rastiya jinan» de, rastî bi kîjan çavkaniyê re tê pêwendîkirin?",Bi ezmûn û dîtina jinan di jiyan û civakê de.,Bi tenê bi rêzikên gramerê yên zimanekî re.,Bi tenê bi nexşeya cografî ya herêmê re.,Bi tenê bi navê sazîyên siyasî re.,A,Navê dosyayê rêbaz û rastiya jinan bi hev re dide nîqaşkirin û ezmûna jinan wekî çavkaniya fêmkirinê dixe pêş.,3,Method and Truth Based on Women’s Reality,https://jineoloji.eu/en/2025/06/29/jineoloji-magazine-at-10-years-old-the-reunion-of-knowledge-stolen-from-women-with-women-part-1/,PENDING_EDITORIAL_APPROVAL,Hareket basın/yayın kaynağından elle yazıldı; ikinci editoryal kontrol bekliyor.
movement7_0003,Edebiyat,ku-kmr,"Di lîsteya Jineolojî Dergisî de, «xweparastina Jineolojî» bi kîjan wateyê re zêdetir nêzîk e?","Bi parastina jiyanê, zanînê û hêza rêxistinê re, ne tenê bi çekê re.",Bi tenê bi parastina pirtûkên kevn re.,Bi tenê bi parastina navên bajarên dîrokî re.,Bi tenê bi parastina muzîkê re.,A,"Dosyaya xweparastinê di lîsteya kovarê de wekî mijareke Jineolojî tê; şirovekirina wê dikare parastina jiyan, zanîn û rêxistinê jî dihewîne.",2,Jineolojî as Self-Defense,https://jineoloji.eu/en/2025/06/29/jineoloji-magazine-at-10-years-old-the-reunion-of-knowledge-stolen-from-women-with-women-part-1/,PENDING_EDITORIAL_APPROVAL,Hareket basın/yayın kaynağından elle yazıldı; ikinci editoryal kontrol bekliyor.
movement7_0004,Edebiyat,ku-kmr,"Di lîsteya Jineolojî Dergisî de, «Rêyên derketina ji krîza çandê» çi cureyê nivîsê nîşan dide?",Nivîsek lêkolînî û çareseriyê ku krîzê nas dike û li rêyan digere.,Nivîsek tenê li ser navên şairan.,Nivîsek tenê li ser şêwaza çêkirina amûrên muzîkê.,Nivîsek tenê li ser şertên avhewayê.,A,"Sernavê dosyayê hem krîza çandê hem jî rêyên derketinê dide nîşandan; mijar tenê nasandin nîne, lêgerîna çareseriyê jî heye.",3,Cultural Crisis and Ways Out of Crisis,https://jineoloji.eu/en/2025/06/29/jineoloji-magazine-at-10-years-old-the-reunion-of-knowledge-stolen-from-women-with-women-part-1/,PENDING_EDITORIAL_APPROVAL,Hareket basın/yayın kaynağından elle yazıldı; ikinci editoryal kontrol bekliyor.
movement7_0005,Dîrok,ku-kmr,"Di dîroka dosyayên Jineolojî Dergisî de, kîjan mijar li ser sedsala 21an tê lîstekirin?",Sedsala jinan.,Ronahî ya sala 1942an.,Rojnameya Kurdistanê ya sala 1898an.,Dîroka Memê Alan.,A,Di lîsteya 33 dosyayan de «Sedsala jinan» wekî mijareke ji bo sedsala 21an hatiye lîstekirin.,2,21st Century; Women’s Century,https://jineoloji.eu/en/2025/06/29/jineoloji-magazine-at-10-years-old-the-reunion-of-knowledge-stolen-from-women-with-women-part-1/,PENDING_EDITORIAL_APPROVAL,Hareket basın/yayın kaynağından elle yazıldı; ikinci editoryal kontrol bekliyor.
movement7_0006,Dîrok,ku-kmr,"Di lîsteya kovarê de, «Rojhilat, Bakur, Rojava û Başûr» çi cureyê dabeşkirinê ye?",Dabeşkirina qadên Kurdistanê ji bo nîqaş û lêkolînên herêmî.,Dabeşkirina çar cureyên alfabeyê.,Dabeşkirina çar komên muzîkê.,Dabeşkirina çar navên pirtûkan.,A,Ev navên herêmî di lîsteya kovarê de wekî dosyayên taybet cih digirin û qadên cuda yên Kurdistanê nîşan didin.,3,"Rojhilat, Bakur, Rojava, Bashur",https://jineoloji.eu/en/2025/06/29/jineoloji-magazine-at-10-years-old-the-reunion-of-knowledge-stolen-from-women-with-women-part-1/,PENDING_EDITORIAL_APPROVAL,Hareket basın/yayın kaynağından elle yazıldı; ikinci editoryal kontrol bekliyor.
movement7_0007,Çand,ku-kmr,"Di dosyaya «Rêxistina potansiyela azadiyê: tevgerên civakî» de, tevgerên civakî çi dikin?",Hêza civakê li dora azadiyê rêxistin dikin.,Tenê kovarên kevn li gorî salê rêz dikin.,Tenê nexşeyên çiyan dikin.,Tenê peyvên stranên olî kom dikin.,A,Sernavê dosyayê tevgerên civakî bi rêxistina potansiyela azadiyê re girêdide û rola rêxistinê dixe pêş.,2,Organizing the Potential of Freedom: Social Movements,https://jineoloji.eu/en/2025/06/29/jineoloji-magazine-at-10-years-old-the-reunion-of-knowledge-stolen-from-women-with-women-part-1/,PENDING_EDITORIAL_APPROVAL,Hareket basın/yayın kaynağından elle yazıldı; ikinci editoryal kontrol bekliyor.
movement7_0008,Çand,ku-kmr,"Di lîsteya kovarê de, «jiyana hevpar a azad; çima, çawa?» ji kîjan pirsa civakî dest pê dike?",Çawa dikare mirovan bi azadî û wekhevî li hev bijîn.,Çawa dikare tenê yek kes hemû biryaran bide.,Çawa dikare çand ji jiyanê were veqetandin.,Çawa dikare civak bê gotûbêjê were rêxistin.,A,Sernavê dosyayê pirsa çima û çawa ya jiyana hevpar a azad dike pêş û bi awayên jiyana wekhev re têkildar e.,3,"Free Coexistence; Why, How?",https://jineoloji.eu/en/2025/06/29/jineoloji-magazine-at-10-years-old-the-reunion-of-knowledge-stolen-from-women-with-women-part-1/,PENDING_EDITORIAL_APPROVAL,Hareket basın/yayın kaynağından elle yazıldı; ikinci editoryal kontrol bekliyor.
movement7_0009,Siyaset,ku-kmr,"Di dosyaya «Aboriya komunal a demokratîk» de, peyva komunalê çi dide nîşandan?",Ku aborî bi hevkarî û bi beşdarbûna civakê tê nîqaşkirin.,Ku aborî tenê karê kesekî ye.,Ku aborî ji çand û civakê cuda ye.,Ku aborî tenê navê kovareke dîrokî ye.,A,Pêwendiya «demokratîk» û «komunal» di sernavê dosyayê de aboriyê bi hevkarî û beşdarbûna civakê re girêdide.,3,Democratic Communal Economy,https://jineoloji.eu/en/2025/06/29/jineoloji-magazine-at-10-years-old-the-reunion-of-knowledge-stolen-from-women-with-women-part-1/,PENDING_EDITORIAL_APPROVAL,Hareket basın/yayın kaynağından elle yazıldı; ikinci editoryal kontrol bekliyor.
movement7_0010,Siyaset,ku-kmr,"Di lîsteya Jineolojî Dergisî de, «îzolasyon û girtin» wekî kîjan cureyê mijarê tê pêşkêşkirin?",Wekî pirsgirêkeke siyasî û civakî ya ku divê bê lêkolînkirin.,Wekî navê cureyekî muzîkê.,Wekî navê alfabeyeke nû.,Wekî navê çiyayekî li Rojava.,A,"Navê dosyayê îzolasyon û girtinê wekî mijareke siyasî-civakî dixe nav gotûbêjê; ew ne navê muzîk, alfabe an çiya ye.",3,Isolation and Closure,https://jineoloji.eu/en/2025/06/29/jineoloji-magazine-at-10-years-old-the-reunion-of-knowledge-stolen-from-women-with-women-part-1/,PENDING_EDITORIAL_APPROVAL,Hareket basın/yayın kaynağından elle yazıldı; ikinci editoryal kontrol bekliyor.
movement7_0011,Paradigma,ku-kmr,"Di dosyaya «Kolonyalîzma li ser bingeha olparêziyê» de, çi têkiliya tê pêşkêşkirin?","Têkiliya hêz, olparêzî û pêvajoyên kolonyalîzmê.",Têkiliya muzîk û geologyayê.,Têkiliya alfabeya Hawarê û ferhengoka Xanî.,Têkiliya dengbêjî û avakirina kooperatîfan.,A,Sernavê dosyayê olparêzî û kolonyalîzmê bi hev re dide nîqaşkirin û li ser têkiliyên hêzê raweste.,3,Religionism-Based Colonialism and Women’s Massacre Policies,https://jineoloji.eu/en/2025/06/29/jineoloji-magazine-at-10-years-old-the-reunion-of-knowledge-stolen-from-women-with-women-part-1/,PENDING_EDITORIAL_APPROVAL,Hareket basın/yayın kaynağından elle yazıldı; ikinci editoryal kontrol bekliyor.
