issueFingerprint,checkId,severity,sourceId,sourceRole,gateIncluded,productionLike,sourcePath,sourceRow,sourceRecordId,runtimeId,canonicalId,prompt,options,rawCorrectValue,parsedCorrectIndex,parsedCorrectText,explanation,category,difficulty,parserName,parserRule,originalSourceLocated,runtimeReachable,duplicateSourceCount,crossSourceDifference,adjudication,confidence,evidence,factualVerificationNeeded,KurmanciEditorNeeded,recommendedAction,safeForAutomaticFix
27d902d96e62a114a13a1fcd88b06a3c,duplicate_option,blocker,active_import_ready,import_candidate,true,true,supabase/questions_import_ready.csv,2,offline_0001,offline_0001,"id:offline_0001|prompt:di kurmancî de peyva ""av"" bi tirkî çi ye","Di Kurmancî de peyva ""av"" bi Tirkî çi ye?",Su | ev | su | te,C,2,su,"""av"" kelimesi ""su"" anlamına gelir.",Ziman,1,csv,letter_A_to_D,true,import_active_not_runtime,2,none,confirmed_data_defect,high,options=Su | ev | su | te; duplicateForm=case_only_duplicate; rawCorrect=C; physicalCopies=2.,false,true,Select distinct distractors through human editorial review; no automatic replacement is safe.,false
994352186f948cf53f7cf3950f35d633,duplicate_option,blocker,active_import_ready,import_candidate,true,true,supabase/questions_import_ready.csv,4,offline_0003,offline_0003,"id:offline_0003|prompt:peyva ""av"" ""su"" anlamına gelir","Peyva ""av"" ""su"" anlamına gelir.",Rast | Şaş | - | -,A,0,Rast,"""av"" için doğru anlam ""su""tir.",Ziman,1,csv,letter_A_to_D,true,import_active_not_runtime,2,none,confirmed_data_defect,high,options=Rast | Şaş | - | -; duplicateForm=exact_duplicate; rawCorrect=A; physicalCopies=2.,false,true,Select distinct distractors through human editorial review; no automatic replacement is safe.,false
08de678ace764e94e7c7de3271ac3884,duplicate_option,blocker,active_import_ready,import_candidate,true,true,supabase/questions_import_ready.csv,5,offline_0004,offline_0004,"id:offline_0004|prompt:peyva ""av"" ""ateş"" anlamına gelir","Peyva ""av"" ""ateş"" anlamına gelir.",Rast | Şaş | - | -,B,1,Şaş,"""av"" ""su"" demektir; ""agir"" ise ""ateş"" anlamına gelir.",Ziman,1,csv,letter_A_to_D,true,import_active_not_runtime,2,none,confirmed_data_defect,high,options=Rast | Şaş | - | -; duplicateForm=exact_duplicate; rawCorrect=B; physicalCopies=2.,false,true,Select distinct distractors through human editorial review; no automatic replacement is safe.,false
b6e9a440df510df2a83b7d468cbf8764,duplicate_option,blocker,active_import_ready,import_candidate,true,true,supabase/questions_import_ready.csv,9,offline_0008,offline_0008,"id:offline_0008|prompt:peyva ""roj"" ""gün/güneş"" anlamına gelir","Peyva ""roj"" ""gün/güneş"" anlamına gelir.",Rast | Şaş | - | -,A,0,Rast,"""roj"" için doğru anlam ""gün/güneş""tir.",Ziman,2,csv,letter_A_to_D,true,import_active_not_runtime,2,none,confirmed_data_defect,high,options=Rast | Şaş | - | -; duplicateForm=exact_duplicate; rawCorrect=A; physicalCopies=2.,false,true,Select distinct distractors through human editorial review; no automatic replacement is safe.,false
13329a95109a26dd2b35b0bb20425100,duplicate_option,blocker,active_import_ready,import_candidate,true,true,supabase/questions_import_ready.csv,10,offline_0009,offline_0009,"id:offline_0009|prompt:peyva ""roj"" ""gece"" anlamına gelir","Peyva ""roj"" ""gece"" anlamına gelir.",Rast | Şaş | - | -,B,1,Şaş,"""roj"" ""gün/güneş"" demektir; ""şev"" ise ""gece"" anlamına gelir.",Ziman,2,csv,letter_A_to_D,true,import_active_not_runtime,2,none,confirmed_data_defect,high,options=Rast | Şaş | - | -; duplicateForm=exact_duplicate; rawCorrect=B; physicalCopies=2.,false,true,Select distinct distractors through human editorial review; no automatic replacement is safe.,false
1fd4063167c6f96e37ce9279196f0085,duplicate_option,blocker,active_import_ready,import_candidate,true,true,supabase/questions_import_ready.csv,14,offline_0013,offline_0013,"id:offline_0013|prompt:peyva ""mal"" ""ev"" anlamına gelir","Peyva ""mal"" ""ev"" anlamına gelir.",Rast | Şaş | - | -,A,0,Rast,"""mal"" için doğru anlam ""ev""tir.",Ziman,3,csv,letter_A_to_D,true,import_active_not_runtime,2,none,confirmed_data_defect,high,options=Rast | Şaş | - | -; duplicateForm=exact_duplicate; rawCorrect=A; physicalCopies=2.,false,true,Select distinct distractors through human editorial review; no automatic replacement is safe.,false
660e89ace4ead7fbc437ad703f260126,duplicate_option,blocker,active_import_ready,import_candidate,true,true,supabase/questions_import_ready.csv,15,offline_0014,offline_0014,"id:offline_0014|prompt:peyva ""mal"" ""okul"" anlamına gelir","Peyva ""mal"" ""okul"" anlamına gelir.",Rast | Şaş | - | -,B,1,Şaş,"""mal"" ""ev"" demektir; ""dibistan"" ise ""okul"" anlamına gelir.",Ziman,3,csv,letter_A_to_D,true,import_active_not_runtime,2,none,confirmed_data_defect,high,options=Rast | Şaş | - | -; duplicateForm=exact_duplicate; rawCorrect=B; physicalCopies=2.,false,true,Select distinct distractors through human editorial review; no automatic replacement is safe.,false
18e882034884c01484d46c7512085273,duplicate_option,blocker,active_import_ready,import_candidate,true,true,supabase/questions_import_ready.csv,18,offline_0017,offline_0017,"id:offline_0017|prompt:""kitap"" anlamına gelen kurmancî kelime hangisidir","""kitap"" anlamına gelen Kurmancî kelime hangisidir?",Gelmek | gelmek | pirtûk | kitap,C,2,pirtûk,"""kitap"" için doğru karşılık ""pirtûk""tir.",Ziman,4,csv,letter_A_to_D,true,import_active_not_runtime,2,none,confirmed_data_defect,high,options=Gelmek | gelmek | pirtûk | kitap; duplicateForm=case_only_duplicate; rawCorrect=C; physicalCopies=2.,false,true,Select distinct distractors through human editorial review; no automatic replacement is safe.,false
7d4d75debb9c79111a04cdcdf6c923b2,duplicate_option,blocker,active_import_ready,import_candidate,true,true,supabase/questions_import_ready.csv,19,offline_0018,offline_0018,"id:offline_0018|prompt:peyva ""pirtûk"" ""kitap"" anlamına gelir","Peyva ""pirtûk"" ""kitap"" anlamına gelir.",Rast | Şaş | - | -,A,0,Rast,"""pirtûk"" için doğru anlam ""kitap""tir.",Ziman,4,csv,letter_A_to_D,true,import_active_not_runtime,2,none,confirmed_data_defect,high,options=Rast | Şaş | - | -; duplicateForm=exact_duplicate; rawCorrect=A; physicalCopies=2.,false,true,Select distinct distractors through human editorial review; no automatic replacement is safe.,false
dfd4c2306edc8418d4f7eae6f75e6bf4,duplicate_option,blocker,active_import_ready,import_candidate,true,true,supabase/questions_import_ready.csv,20,offline_0019,offline_0019,"id:offline_0019|prompt:peyva ""pirtûk"" ""yazı"" anlamına gelir","Peyva ""pirtûk"" ""yazı"" anlamına gelir.",Rast | Şaş | - | -,B,1,Şaş,"""pirtûk"" ""kitap"" demektir; ""nivîs"" ise ""yazı"" anlamına gelir.",Ziman,4,csv,letter_A_to_D,true,import_active_not_runtime,2,none,confirmed_data_defect,high,options=Rast | Şaş | - | -; duplicateForm=exact_duplicate; rawCorrect=B; physicalCopies=2.,false,true,Select distinct distractors through human editorial review; no automatic replacement is safe.,false
