issueFingerprint,checkId,severity,sourceId,sourceRole,gateIncluded,productionLike,sourcePath,sourceRow,sourceRecordId,runtimeId,canonicalId,prompt,options,rawCorrectValue,parsedCorrectIndex,parsedCorrectText,explanation,category,difficulty,parserName,parserRule,originalSourceLocated,runtimeReachable,duplicateSourceCount,crossSourceDifference,adjudication,confidence,evidence,factualVerificationNeeded,KurmanciEditorNeeded,recommendedAction,safeForAutomaticFix
6c8c715c40d1cfcbe1c7d3cd61f47db5,answer_leak,critical,active_import_ready,import_candidate,true,true,supabase/questions_import_ready.csv,2633,offline_2611,offline_2611,id:offline_2611|prompt:mahabad cumhuriyeti hangi şehir merkezliydi,Mahabad Cumhuriyeti hangi şehir merkezliydi?,Mahabad | Bağdat | Tahran | Şam,A,0,Mahabad,"Mahabad Cumhuriyeti, adını merkezi olan Mahabad şehrinden alır.",Dîrok,3,csv,letter_A_to_D,true,import_active_not_runtime,2,none,factual_verification_required,medium,prompt=Mahabad Cumhuriyeti hangi şehir merkezliydi?; correct=Mahabad; rawCorrect=A; standalone normalized match was reviewed against context; physicalCopies=2.,true,true,Verify the fact against an authoritative dated source before any editorial decision.,false
e7caa653dca580bf3d529e3227e9ea9a,answer_leak,critical,open_web_master,candidate_pool,false,false,supabase/2026-07-14_open_web_candidate_pool_master.csv,1138,wikidata_0012,wikidata_0012,id:wikidata_0012|prompt:what is the capital city of monaco,What is the capital city of Monaco?,Monaco | Canberra | Cairo | Budapest,A,0,Monaco,,Geography,,csv,letter_A_to_D,true,unknown,3,none,factual_verification_required,medium,prompt=What is the capital city of Monaco?; correct=Monaco; rawCorrect=A; standalone normalized match was reviewed against context; physicalCopies=3.,true,true,Verify the fact against an authoritative dated source before any editorial decision.,false
9d71a936f7e0b2d646628ebc7e7d26c0,answer_leak,critical,open_web_master,candidate_pool,false,false,supabase/2026-07-14_open_web_candidate_pool_master.csv,1153,wikidata_0027,wikidata_0027,id:wikidata_0027|prompt:what is the capital city of singapore,What is the capital city of Singapore?,Singapore | Canberra | Cairo | Budapest,A,0,Singapore,,Geography,,csv,letter_A_to_D,true,unknown,3,none,factual_verification_required,medium,prompt=What is the capital city of Singapore?; correct=Singapore; rawCorrect=A; standalone normalized match was reviewed against context; physicalCopies=3.,true,true,Verify the fact against an authoritative dated source before any editorial decision.,false
fcefc959a8219d600217edbfa438ac75,answer_leak,critical,open_web_master,candidate_pool,false,false,supabase/2026-07-14_open_web_candidate_pool_master.csv,1207,wikidata_0081,wikidata_0081,id:wikidata_0081|prompt:what is the capital city of luxembourg,What is the capital city of Luxembourg?,Luxembourg | Canberra | Cairo | Budapest,A,0,Luxembourg,,Geography,,csv,letter_A_to_D,true,unknown,3,none,factual_verification_required,medium,prompt=What is the capital city of Luxembourg?; correct=Luxembourg; rawCorrect=A; standalone normalized match was reviewed against context; physicalCopies=3.,true,true,Verify the fact against an authoritative dated source before any editorial decision.,false
1405869c2dafc4a9b81bd3def6176d84,answer_leak,critical,open_web_master,candidate_pool,false,false,supabase/2026-07-14_open_web_candidate_pool_master.csv,1219,wikidata_0093,wikidata_0093,id:wikidata_0093|prompt:what is the capital city of san marino,What is the capital city of San Marino?,San Marino | Canberra | Cairo | Budapest,A,0,San Marino,,Geography,,csv,letter_A_to_D,true,unknown,3,none,factual_verification_required,medium,prompt=What is the capital city of San Marino?; correct=San Marino; rawCorrect=A; standalone normalized match was reviewed against context; physicalCopies=3.,true,true,Verify the fact against an authoritative dated source before any editorial decision.,false
35cc39260f2ba7bd791e6d66bae13f22,answer_leak,critical,open_web_master,candidate_pool,false,false,supabase/2026-07-14_open_web_candidate_pool_master.csv,1220,wikidata_0094,wikidata_0094,id:wikidata_0094|prompt:what is the capital city of vatican city,What is the capital city of Vatican City?,Vatican City | Canberra | Cairo | Budapest,A,0,Vatican City,,Geography,,csv,letter_A_to_D,true,unknown,3,none,factual_verification_required,medium,prompt=What is the capital city of Vatican City?; correct=Vatican City; rawCorrect=A; standalone normalized match was reviewed against context; physicalCopies=3.,true,true,Verify the fact against an authoritative dated source before any editorial decision.,false
f1127de56dd25fd31ef246224932d71b,answer_leak,critical,open_web_master,candidate_pool,false,false,supabase/2026-07-14_open_web_candidate_pool_master.csv,1230,wikidata_0104,wikidata_0104,id:wikidata_0104|prompt:what is the capital city of muscat and oman,What is the capital city of Muscat and Oman?,Muscat | Canberra | Cairo | Budapest,A,0,Muscat,,Geography,,csv,letter_A_to_D,true,unknown,3,none,factual_verification_required,medium,prompt=What is the capital city of Muscat and Oman?; correct=Muscat; rawCorrect=A; standalone normalized match was reviewed against context; physicalCopies=3.,true,true,Verify the fact against an authoritative dated source before any editorial decision.,false
6952eba9b27b7b9dcd46400fa144dc29,answer_leak,critical,open_web_master,candidate_pool,false,false,supabase/2026-07-14_open_web_candidate_pool_master.csv,1232,wikidata_0106,wikidata_0106,id:wikidata_0106|prompt:what is the capital city of sultanate of muscat,What is the capital city of Sultanate of Muscat?,Muscat | Canberra | Cairo | Budapest,A,0,Muscat,,Geography,,csv,letter_A_to_D,true,unknown,3,none,factual_verification_required,medium,prompt=What is the capital city of Sultanate of Muscat?; correct=Muscat; rawCorrect=A; standalone normalized match was reviewed against context; physicalCopies=3.,true,true,Verify the fact against an authoritative dated source before any editorial decision.,false
e708bb5f7eefdc581915e287931b539f,answer_leak,critical,open_web_master,candidate_pool,false,false,supabase/2026-07-14_open_web_candidate_pool_master.csv,1240,wikidata_0114,wikidata_0114,id:wikidata_0114|prompt:what is the capital city of maragheh khanate,What is the capital city of Maragheh Khanate?,Maragheh | Canberra | Cairo | Budapest,A,0,Maragheh,,Geography,,csv,letter_A_to_D,true,unknown,3,none,factual_verification_required,medium,prompt=What is the capital city of Maragheh Khanate?; correct=Maragheh; rawCorrect=A; standalone normalized match was reviewed against context; physicalCopies=3.,true,true,Verify the fact against an authoritative dated source before any editorial decision.,false
1c55998bf945da2e9e3abc0aab5c940e,answer_leak,critical,open_web_master,candidate_pool,false,false,supabase/2026-07-14_open_web_candidate_pool_master.csv,1248,wikidata_0122,wikidata_0122,id:wikidata_0122|prompt:what is the capital city of principality of waldeck,What is the capital city of Principality of Waldeck?,Waldeck | Canberra | Cairo | Budapest,A,0,Waldeck,,Geography,,csv,letter_A_to_D,true,unknown,3,none,factual_verification_required,medium,prompt=What is the capital city of Principality of Waldeck?; correct=Waldeck; rawCorrect=A; standalone normalized match was reviewed against context; physicalCopies=3.,true,true,Verify the fact against an authoritative dated source before any editorial decision.,false
