source_id,path,role,parser,physical_records,parsed_records,read,skipped,parse_errors,headers,comments,blank_lines,report_included,gate_included,production_like,expected_records
active_import_ready,supabase/questions_import_ready.csv,import_candidate,csv,10000,10000,10000,0,0,1,0,0,true,true,true,10000
curated_runtime_bank,lib/src/data/curated_question_bank.dart,runtime_secondary,dart_quiz_question,20,20,20,0,0,0,0,0,true,true,true,20
editorial_wave2_review,supabase/2026-07-14_editorial_kurmanci_question_wave_2_for_ai_review.csv,candidate_pool,csv,10000,10000,10000,0,0,1,0,0,true,false,false,10000
generated_master_csv,supabase/2026-07-14_all_generated_questions_master.csv,historical_snapshot,csv,285,285,285,0,0,1,0,0,true,false,false,285
historical_question_sql,supabase/*question*.sql,historical_snapshot,sql_count,8,0,8,0,0,0,0,0,true,false,false,
historical_question_sql,supabase/*question*.sql,historical_snapshot,sql_count,10000,0,10000,0,0,0,0,0,true,false,false,
historical_question_sql,supabase/*question*.sql,historical_snapshot,sql_count,10000,0,10000,0,0,0,0,0,true,false,false,
historical_rich_parts,supabase/rich_question_bank_v2_parts/*.sql,historical_snapshot,sql_count,125,0,125,0,0,0,0,0,true,false,false,
historical_rich_parts,supabase/rich_question_bank_v2_parts/*.sql,historical_snapshot,sql_count,6,0,6,0,0,0,0,0,true,false,false,
historical_rich_parts,supabase/rich_question_bank_v2_parts/*.sql,historical_snapshot,sql_count,125,0,125,0,0,0,0,0,true,false,false,
historical_rich_parts,supabase/rich_question_bank_v2_parts/*.sql,historical_snapshot,sql_count,125,0,125,0,0,0,0,0,true,false,false,
historical_rich_parts,supabase/rich_question_bank_v2_parts/*.sql,historical_snapshot,sql_count,125,0,125,0,0,0,0,0,true,false,false,
historical_rich_parts,supabase/rich_question_bank_v2_parts/*.sql,historical_snapshot,sql_count,125,0,125,0,0,0,0,0,true,false,false,
historical_rich_parts,supabase/rich_question_bank_v2_parts/*.sql,historical_snapshot,sql_count,125,0,125,0,0,0,0,0,true,false,false,
historical_rich_parts,supabase/rich_question_bank_v2_parts/*.sql,historical_snapshot,sql_count,125,0,125,0,0,0,0,0,true,false,false,
historical_rich_parts,supabase/rich_question_bank_v2_parts/*.sql,historical_snapshot,sql_count,112,0,112,0,0,0,0,0,true,false,false,
historical_rich_sql,supabase/rich_question_bank*.sql,historical_snapshot,sql_count,36,0,36,0,0,0,0,0,true,false,false,
historical_rich_sql,supabase/rich_question_bank*.sql,historical_snapshot,sql_count,10008,0,10008,0,0,0,0,0,true,false,false,
historical_sql_chunks,supabase_chunks/rich_bank_part_*.sql,historical_snapshot,sql_count,2000,0,2000,0,0,0,0,0,true,false,false,
historical_sql_chunks,supabase_chunks/rich_bank_part_*.sql,historical_snapshot,sql_count,2000,0,2000,0,0,0,0,0,true,false,false,
historical_sql_chunks,supabase_chunks/rich_bank_part_*.sql,historical_snapshot,sql_count,2000,0,2000,0,0,0,0,0,true,false,false,
historical_sql_chunks,supabase_chunks/rich_bank_part_*.sql,historical_snapshot,sql_count,2000,0,2000,0,0,0,0,0,true,false,false,
historical_sql_chunks,supabase_chunks/rich_bank_part_*.sql,historical_snapshot,sql_count,2008,0,2008,0,0,0,0,0,true,false,false,
live_kurmanci_export,supabase/2026-07-14_chat_all_kurmanci_questions_live.csv,runtime_secondary,csv,377,377,377,0,0,1,0,0,true,true,true,377
offline_runtime_bank,lib/src/data/offline_question_bank.dart,runtime_primary,dart_quiz_question,3125,3125,3125,0,0,0,0,0,true,true,true,3125
