severity,canonical_key,left_source,left_row,right_source,right_row,fields
warning,open_web_candidates|opentdb_0001,supabase/2026-07-14_open_web_candidate_pool_master.csv,2,supabase/2026-07-14_open_web_controlled_review_queue.csv,2,status
warning,open_web_candidates|opentdb_0002,supabase/2026-07-14_open_web_candidate_pool_master.csv,3,supabase/2026-07-14_open_web_controlled_review_queue.csv,3,status
warning,open_web_candidates|opentdb_0003,supabase/2026-07-14_open_web_candidate_pool_master.csv,4,supabase/2026-07-14_open_web_controlled_review_queue.csv,4,status
warning,open_web_candidates|opentdb_0004,supabase/2026-07-14_open_web_candidate_pool_master.csv,5,supabase/2026-07-14_open_web_controlled_review_queue.csv,5,status
warning,open_web_candidates|opentdb_0005,supabase/2026-07-14_open_web_candidate_pool_master.csv,6,supabase/2026-07-14_open_web_controlled_review_queue.csv,6,status
warning,open_web_candidates|opentdb_0006,supabase/2026-07-14_open_web_candidate_pool_master.csv,7,supabase/2026-07-14_open_web_controlled_review_queue.csv,7,status
warning,open_web_candidates|opentdb_0007,supabase/2026-07-14_open_web_candidate_pool_master.csv,8,supabase/2026-07-14_open_web_controlled_review_queue.csv,8,status
warning,open_web_candidates|opentdb_0008,supabase/2026-07-14_open_web_candidate_pool_master.csv,9,supabase/2026-07-14_open_web_controlled_review_queue.csv,9,status
warning,open_web_candidates|opentdb_0009,supabase/2026-07-14_open_web_candidate_pool_master.csv,10,supabase/2026-07-14_open_web_controlled_review_queue.csv,10,status
warning,open_web_candidates|opentdb_0010,supabase/2026-07-14_open_web_candidate_pool_master.csv,11,supabase/2026-07-14_open_web_controlled_review_queue.csv,11,status
warning,open_web_candidates|opentdb_0011,supabase/2026-07-14_open_web_candidate_pool_master.csv,12,supabase/2026-07-14_open_web_controlled_review_queue.csv,12,status
warning,open_web_candidates|opentdb_0012,supabase/2026-07-14_open_web_candidate_pool_master.csv,13,supabase/2026-07-14_open_web_controlled_review_queue.csv,13,status
warning,open_web_candidates|opentdb_0013,supabase/2026-07-14_open_web_candidate_pool_master.csv,14,supabase/2026-07-14_open_web_controlled_review_queue.csv,14,status
warning,open_web_candidates|opentdb_0014,supabase/2026-07-14_open_web_candidate_pool_master.csv,15,supabase/2026-07-14_open_web_controlled_review_queue.csv,15,status
warning,open_web_candidates|opentdb_0015,supabase/2026-07-14_open_web_candidate_pool_master.csv,16,supabase/2026-07-14_open_web_controlled_review_queue.csv,16,status
warning,open_web_candidates|opentdb_0016,supabase/2026-07-14_open_web_candidate_pool_master.csv,17,supabase/2026-07-14_open_web_controlled_review_queue.csv,17,status
warning,open_web_candidates|opentdb_0017,supabase/2026-07-14_open_web_candidate_pool_master.csv,18,supabase/2026-07-14_open_web_controlled_review_queue.csv,18,status
warning,open_web_candidates|opentdb_0018,supabase/2026-07-14_open_web_candidate_pool_master.csv,19,supabase/2026-07-14_open_web_controlled_review_queue.csv,19,status
warning,open_web_candidates|opentdb_0019,supabase/2026-07-14_open_web_candidate_pool_master.csv,20,supabase/2026-07-14_open_web_controlled_review_queue.csv,20,status
warning,open_web_candidates|opentdb_0020,supabase/2026-07-14_open_web_candidate_pool_master.csv,21,supabase/2026-07-14_open_web_controlled_review_queue.csv,21,status
warning,open_web_candidates|opentdb_0021,supabase/2026-07-14_open_web_candidate_pool_master.csv,22,supabase/2026-07-14_open_web_controlled_review_queue.csv,22,status
warning,open_web_candidates|opentdb_0022,supabase/2026-07-14_open_web_candidate_pool_master.csv,23,supabase/2026-07-14_open_web_controlled_review_queue.csv,23,status
warning,open_web_candidates|opentdb_0023,supabase/2026-07-14_open_web_candidate_pool_master.csv,24,supabase/2026-07-14_open_web_controlled_review_queue.csv,24,status
warning,open_web_candidates|opentdb_0024,supabase/2026-07-14_open_web_candidate_pool_master.csv,25,supabase/2026-07-14_open_web_controlled_review_queue.csv,25,status
warning,open_web_candidates|opentdb_0025,supabase/2026-07-14_open_web_candidate_pool_master.csv,26,supabase/2026-07-14_open_web_controlled_review_queue.csv,26,status
warning,open_web_candidates|opentdb_0026,supabase/2026-07-14_open_web_candidate_pool_master.csv,27,supabase/2026-07-14_open_web_controlled_review_queue.csv,27,status
warning,open_web_candidates|opentdb_0027,supabase/2026-07-14_open_web_candidate_pool_master.csv,28,supabase/2026-07-14_open_web_controlled_review_queue.csv,28,status
warning,open_web_candidates|opentdb_0028,supabase/2026-07-14_open_web_candidate_pool_master.csv,29,supabase/2026-07-14_open_web_controlled_review_queue.csv,29,status
warning,open_web_candidates|opentdb_0029,supabase/2026-07-14_open_web_candidate_pool_master.csv,30,supabase/2026-07-14_open_web_controlled_review_queue.csv,30,status
warning,open_web_candidates|opentdb_0030,supabase/2026-07-14_open_web_candidate_pool_master.csv,31,supabase/2026-07-14_open_web_controlled_review_queue.csv,31,status
warning,open_web_candidates|opentdb_0031,supabase/2026-07-14_open_web_candidate_pool_master.csv,32,supabase/2026-07-14_open_web_controlled_review_queue.csv,32,status
warning,open_web_candidates|opentdb_0032,supabase/2026-07-14_open_web_candidate_pool_master.csv,33,supabase/2026-07-14_open_web_controlled_review_queue.csv,33,status
warning,open_web_candidates|opentdb_0033,supabase/2026-07-14_open_web_candidate_pool_master.csv,34,supabase/2026-07-14_open_web_controlled_review_queue.csv,34,status
warning,open_web_candidates|opentdb_0034,supabase/2026-07-14_open_web_candidate_pool_master.csv,35,supabase/2026-07-14_open_web_controlled_review_queue.csv,35,status
warning,open_web_candidates|opentdb_0035,supabase/2026-07-14_open_web_candidate_pool_master.csv,36,supabase/2026-07-14_open_web_controlled_review_queue.csv,36,status
warning,open_web_candidates|opentdb_0036,supabase/2026-07-14_open_web_candidate_pool_master.csv,37,supabase/2026-07-14_open_web_controlled_review_queue.csv,37,status
warning,open_web_candidates|opentdb_0037,supabase/2026-07-14_open_web_candidate_pool_master.csv,38,supabase/2026-07-14_open_web_controlled_review_queue.csv,38,status
warning,open_web_candidates|opentdb_0038,supabase/2026-07-14_open_web_candidate_pool_master.csv,39,supabase/2026-07-14_open_web_controlled_review_queue.csv,39,status
warning,open_web_candidates|opentdb_0039,supabase/2026-07-14_open_web_candidate_pool_master.csv,40,supabase/2026-07-14_open_web_controlled_review_queue.csv,40,status
warning,open_web_candidates|opentdb_0040,supabase/2026-07-14_open_web_candidate_pool_master.csv,41,supabase/2026-07-14_open_web_controlled_review_queue.csv,41,status
warning,open_web_candidates|opentdb_0041,supabase/2026-07-14_open_web_candidate_pool_master.csv,42,supabase/2026-07-14_open_web_controlled_review_queue.csv,42,status
warning,open_web_candidates|opentdb_0042,supabase/2026-07-14_open_web_candidate_pool_master.csv,43,supabase/2026-07-14_open_web_controlled_review_queue.csv,43,status
warning,open_web_candidates|opentdb_0043,supabase/2026-07-14_open_web_candidate_pool_master.csv,44,supabase/2026-07-14_open_web_controlled_review_queue.csv,44,status
warning,open_web_candidates|opentdb_0044,supabase/2026-07-14_open_web_candidate_pool_master.csv,45,supabase/2026-07-14_open_web_controlled_review_queue.csv,45,status
warning,open_web_candidates|opentdb_0045,supabase/2026-07-14_open_web_candidate_pool_master.csv,46,supabase/2026-07-14_open_web_controlled_review_queue.csv,46,status
warning,open_web_candidates|opentdb_0046,supabase/2026-07-14_open_web_candidate_pool_master.csv,47,supabase/2026-07-14_open_web_controlled_review_queue.csv,47,status
warning,open_web_candidates|opentdb_0047,supabase/2026-07-14_open_web_candidate_pool_master.csv,48,supabase/2026-07-14_open_web_controlled_review_queue.csv,48,status
warning,open_web_candidates|opentdb_0048,supabase/2026-07-14_open_web_candidate_pool_master.csv,49,supabase/2026-07-14_open_web_controlled_review_queue.csv,49,status
warning,open_web_candidates|opentdb_0049,supabase/2026-07-14_open_web_candidate_pool_master.csv,50,supabase/2026-07-14_open_web_controlled_review_queue.csv,50,status
warning,open_web_candidates|opentdb_0050,supabase/2026-07-14_open_web_candidate_pool_master.csv,51,supabase/2026-07-14_open_web_controlled_review_queue.csv,51,status
warning,open_web_candidates|opentdb_0051,supabase/2026-07-14_open_web_candidate_pool_master.csv,52,supabase/2026-07-14_open_web_controlled_review_queue.csv,52,status
warning,open_web_candidates|opentdb_0052,supabase/2026-07-14_open_web_candidate_pool_master.csv,53,supabase/2026-07-14_open_web_controlled_review_queue.csv,53,status
